author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,count
"iwatsuki, s","gordon, rd","shaw, bw","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.21428571
"charlton, m","seaberg, e","wiesner, r","everhart, j","zetterman, r","lake, j","detre, k","hoofnagle, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4
"bartholomew, mm","jansen, rw","jeffers, lj","reddy, kr","johnson, lc","bunzendahl, h","condreay, ld","tzakis, ag","schiff, er","brown, na",,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.52941176
"strasberg, sm","howard, tk","molmenti, ep","hertl, m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.26315789
"lo, cm","fan, st","liu, cl","wei, wi","lo, rjw","lai, cl","chan, jkf","ng, iol","fung, a","wong, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.17647059
"kang, yg","martin, dj","marquez, j","lewis, jh","bontempo, fa","shaw, bw","starzl, te","winter, pm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4137931
"davies, se","portmann, bc","ogrady, jg","aldis, pm","chaggar, k","alexander, gjm","williams, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.95652174
"holmgren, g","ericzon, bg","groth, cg","steen, l","suhr, o","andersen, o","wallin, bg","seymour, a","richardson, s","hawkins, pn","pepys, mb",,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9
"markowitz, js","martin, p","conrad, aj","markmann, jf","seu, p","yersiz, h","goss, ja","schmidt, p","pakrasi, a","artinian, l","murray, ngb","imagawa, dk","holt, c","goldstein, li","stribling, r","busuttil, rw",,,,,,,,,,,,,,,,,,,,,,,22.4
"ogrady, jg","polson, rj","rolles, k","calne, ry","williams, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88461538
"poon, rtp","fan, st","lo, cm","liu, cl","wong, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.53846154
"gane, ej","naoumov, nv","qian, kp","mondelli, mu","maertens, g","portmann, bc","lau, jyn","williams, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.15789474
"prieto, m","berenguer, m","rayon, jm","cordoba, j","arguello, l","carrasco, d","garcia-herola, a","olaso, v","de juan, m","gobernado, m","mir, j","berenguer, j",,,,,,,,,,,,,,,,,,,,,,,,,,,20.0625
"samuel, d","bismuth, a","mathieu, d","arulnaden, jl","reynes, m","benhamou, jp","brechot, c","bismuth, h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.86956522
"grellier, l","mutimer, d","ahmed, m","brown, d",burroughs,"rolles, k","mcmaster, p","beranek, p","kennedy, f","kibbler, h","mcphillips, p","elias, e","dusheiko, g",,,,,,,,,,,,,,,,,,,,,,,,,,17.5
"tzakis, a","todo, s","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
"tzakis, ag","gordon, rd","shaw, bw","iwatsuki, s","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10714286
"bilheimer, dw","goldstein, jl","grundy, sm","starzl, te","brown, ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62068966
"majno, pietro","adam, r","bismuth, h","castaing, d","ariche, a","krissat, j","perin, h","azoulay, d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.875
"starzl, te","fung, j","tzakis, a","todo, s","demetris, aj","marino, ir","doyle, h","zeevi, a","warty, v","michaels, m","kusne, s","rudert, wa","trucco, m",,,,,,,,,,,,,,,,,,,,,,,,,,14.33333333
"ringe, b","wittekind, c","bechstein, wo","bunzendahl, h","pichlmayr, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04
"mazzaferro, v",llovet,"miceli, rosalbo","bhoori, sherrie","schiavo, marcello","mariani, luigi","camerini, tiziona","roayaie, sasan","schwartz, myron e.","grazi, gian luca","adam, rene","neuhaus, peter","salizzoni, mauro","bruix, jordi","forner, alejandro","de carlis, luciano","cillo, umberto",burroughs,"troisi, roberto","rossi, massimo","gerunda, giorgio e.","lerut, jan","belghiti, jacques","boin, ilka","gugenheim, jean","rochling, fedja","van hoek, bart","majno, pietro",,,,,,,,,,,50
"qian, sw","demetris, aj","murase, n","rao, as","fung, jj","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9
"strom, sc","fisher, ra","thompson, mt","sanyal, aj","cole, pe","ham, jm","posner, mp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.27777778
"gane, e","saliba, f","valdecasas, gjc","ogrady, j","pescovitz, md","lyman, s","robinson, ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.25
"kamada, n","davis, hfs","roser, b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.125
"kawasaki, s","makuuchi, m","matsunami, h","hashikura, y","ikegami, t","nakazawa, y","chisuwa, h","terada, m","miyagawa, s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
"langnas, an","marujo, w","stratta, rj","wood, rp","shaw, bw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52173913
penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.34782609
"sheiner, pa","schwartz, me","mor, e","schluger, lk","theise, n","kishikawa, k","kolesnikov, v","bodenheimer, h","emre, s","miller, cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15
"wozney, p","zajko, ab","bron, km","point, s","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.928571429
"ogrady, jg","smith, hm","davies, se","daniels, hm","donaldson, pt","tan, kc","portmann, b","alexander, gjm","williams, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.59090909
"marcos, a","fisher, ra","ham, jm","shiffman, ml","sanyal, aj","luketic, vac","sterling, rk","posner, mp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.64285714
"merion, rm","schaubel, de","dykstra, dm","freeman, rb","port, fk","wolfe, ra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3
"freeman, rb","wiesner, rh","harper, a","mcdiarmid, sv","lake, j","edwards, e","merion, r","wolfe, r","turcotte, j","teperman, l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75
"chazouilleres, o","kim, m","combs, c","ferrell, l","bacchetti, p","roberts, j","ascher, nl","neuwald, p","wilber, j","urdea, m","quan, s","sanchezpescador, r","wright, tl",,,,,,,,,,,,,,,,,,,,,,,,,,13.65
"berenguer, m","prieto, m","rayon, jm","mora, j","pastor, m","ortiz, v","carrasco, d","san juan, f","burgueno, mdj","mir, j","berenguer, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,19.21428571
"feray, c","gigou, m","samuel, d","paradis, v","wilber, j","david, mf","urdea, m","reynes, m","brechot, c","bismuth, h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94444444
llovet,"bruix, j","fuster, j","castells, a","garcia-valdecasas, jc","grande, l","franca, a","bru, c","navasa, m","ayuso, md","sole, m","real, mi","vilana, r","rimola, a","visa, j","rodes, j",,,,,,,,,,,,,,,,,,,,,,,16.5625
"brown, rs","russo, mw","lai, m","shiffman, ml","richardson, mc","everhart, je","hoofnagle, jh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.66666667
"gonwa, ta","mai, ml","melton, lb","hays, sr","goldstein, rm","levy, mf","klintmalm, gb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
"pichlmayr, r","ringe, b","gubernatis, g","hauss, j","bunzendahl, h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62962963
"schiff, er","lai, cl","hadziyannis, s","neuhaus, p","terrault, n","colombo, m","tillmann, hl","samuel, d","zeuzem, s","lilly, l","rendina, m","villeneuve, jp","lama, n","james, c","wulfsohn, ms","namini, h","westland, c","xiong, s","choy, gs","van doren, s","fry, j","brosgart, cl",,,,,,,,,,,,,,,,,23.54545455
"sanchezurdazpal, l","gores, gj","ward, em","maus, tp","wahlstrom, he","moore, sb","wiesner, rh","krom, raf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.08695652
"feray, c","caccamo, l","alexander, gjm","ducot, b","gugenheim, j","casanovas, t","loinaz, c","gigou, m","burra, p","barkholt, l","esteban, r","bizollon, t","lerut, j","minello-franza, a","bernard, ph","nachbaur, g","botta-fridlund, d","bismuth, h","schalm, sw","samuel, d",,,,,,,,,,,,,,,,,,,16.86666667
"klintmalm, gb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8
"perrillo, rp","wright, t","rakela, j","levy, g","schiff, e","gish, r","martin, p","dienstag, j","adams, p","dickson, r","anschuetz, g","bell, s","condreay, l","brown, n",,,,,,,,,,,,,,,,,,,,,,,,,19.30769231
"inomata, y","uemoto, s","asonuma, k","egawa, h","kiuchi, t","fujita, s","hayashi, m","kawashima, m","tanaka, k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.85714286
"fan, st","lo, cm","liu, cl","yong, bh","chan, jkf","ng, iol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6
"dickson, rc","everhart, je","lake, jr","wei, yl","seaberg, ec","wiesner, rh","zetterman, rk","pruett, tl","ishitani, mb","hoofnagle, jh","detre, km","demetris, aj","lombardero, m","seaberg, e","lawlor, s","fitzgerald, s","haber, j","swanson, gl","wiesner, r","krom, r","porayko, mk","schwerman, l","groettum, c","shaw, b","taylor, k","ascher, n","lake, j","bremerkamp, c","everhart, j","shores, s","broccoli, a","hausman, g","shepard, b","carrol, n","mcgory, r","stevenson, wc","mccullough, c","caldwell, s",15.5
"snover, dc","sibley, rk","freese, dk","sharp, hl","bloomer, jr","najarian, js","ascher, nl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.821428571
"bismuth, h","samuel, d","gugenheim, j","castaing, d","bernuau, j","rueff, b","benhamou, jp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
"feray, c","gigou, m","samuel, d","paradis, v","mishiro, s","maertens, g","reynes, m","okamoto, h","bismuth, h","brechot, c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89473684
"greif, f","bronsther, ol","vanthiel, dh","casavilla, a","iwatsuki, s","tzakis, a","todo, s","fung, jj","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25
"roayaie, s","frischer, js","emre, sh","fishbein, tm","sheiner, pa","sung, m","miller, cm","schwartz, me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.69230769
"dalessandro, am","kalayoglu, m","sollinger, hw","hoffmann, rm","reed, a","knechtle, sj","pirsch, jd","hafez, gr","lorentzen, d","belzer, fo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.125
"gonwa, ta","klintmalm, gb","levy, m","jennings, ls","goldstein, rm","husberg, bs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.44444444
"mazzaferro, v","battiston, c","perrone, s","pulvirenti, a","regalia, e","romito, r","sarli, d","schiavo, m","garbagnati, f","marchiano, a","spreafico, c","camerini, t","mariani, l","miceli, r","andreola, s",,,,,,,,,,,,,,,,,,,,,,,,26.55555556
"samuel, d","bizollon, t","feray, c","roche, b","ahmed, sns","lemonnier, c","cohard, m","reynes, m","chevallier, m","ducerf, c","baulieux, j","geffner, m","albrecht, jk","bismuth, h","trepo, c",,,,,,,,,,,,,,,,,,,,,,,,19.75
"todo, s","furukawa, h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6
"ogrady, jg","sutherland, s","harvey, f","calne, ry","alexander, gjm","donaldson, pt","portmann, b","williams, r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44
"lerut, j","gordon, rd","iwatsuki, s","esquivel, co","todo, s","tzakis, a","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
"garcia-retortillo, m","forns, x","feliu, a","moitinho, e","costa, j","navasa, m","rimola, a","rodes, j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.61538462
"schluger, lk","sheiner, pa","thung, sn","lau, jyn","min, a","wolf, dc","fiel, i","zhang, d","gerber, ma","miller, cm","bodenheimer, hc",,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05263158
"chazouilleres, o","mamish, d","kim, m","carey, k","ferrell, l","roberts, jp","ascher, nl","wright, tl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.45
"stratta, rj","wood, rp","langnas, an","hollins, rr","bruder, kj","donovan, jp","burnett, da","lieberman, rp","lund, gb","pillen, tj","markin, rs","shaw, bw",,,,,,,,,,,,,,,,,,,,,,,,,,,9.541666667
"gao, ws","bentley, rc","madden, jf","clavien, pa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25
"mazariegos, gv","reyes, j","marino, ir","demetris, aj","flynn, b","irish, w","mcmichael, j","fung, jj","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25
"nair, s","verma, s","thuluvath, pj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.30769231
"hemming, aw","cattral, ms","reed, ai","van der werf, wj","greig, pd","howard, rj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92307692
