author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28
"Yang, Guo-Liang","Lim, C C Tchoyoson",,,,,,,,,,,,,,,,,,,,,,,,,,
"Halter, MJ","Kleiner, C","Hess, RF",,,,,,,,,,,,,,,,,,,,,,,,,
"Jonsson, BA",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallagher, Judith E","Dobrosielski-Vergona, Kathleen A","Wingard, Robin G","Williams, Theresa M",,,,,,,,,,,,,,,,,,,,,,,,
"Zeiger, RF",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robley, LR","Farnsworth, BJ","Flynn, JB","Horne, CD",,,,,,,,,,,,,,,,,,,,,,,,
"Cook, G","Thynne, E","Weatherhead, E","Glenn, S","Mitchell, A","Bailey, P",,,,,,,,,,,,,,,,,,,,,,
"Yang, Kuei-Feng","Yu, Shu","Lin, Ming-Sheng","Hsu, Chia-Ling",,,,,,,,,,,,,,,,,,,,,,,,
"Kozlowski, D",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernhardt, Jay M","Runyan, Carol W","Bou-Saada, Ingrid","Felter, Elizabeth M",,,,,,,,,,,,,,,,,,,,,,,,
"Hockemeyer, C","Conlan, O","Wade, V","Albert, D",,,,,,,,,,,,,,,,,,,,,,,,
"Nelson, E Anne",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wiecha, John M","Gramling, Robert","Joachim, Phyllis","Vanderschmidt, Hannelore",,,,,,,,,,,,,,,,,,,,,,,,
"Hodgson, VE",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morris, N","Buck-Rolland, C","Gagne, M",,,,,,,,,,,,,,,,,,,,,,,,,
"Lemaire, ED","Greene, G",,,,,,,,,,,,,,,,,,,,,,,,,,
"Evans, JR","Haase, IM",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rose, M A","Frisby, A J","Hamlin, M D","Jones, S S",,,,,,,,,,,,,,,,,,,,,,,,
"Milstead, J A","Nelson, R",,,,,,,,,,,,,,,,,,,,,,,,,,
"Wen, Shuhuan","Zheng, Wei","Zhu, Jinghai","Li, Xiaoli","Chen, Shengyong",,,,,,,,,,,,,,,,,,,,,,,
"Chen, Feng","Wang, Qing","Wang, Song","Zhang, Weidong","Xu, Wenli",,,,,,,,,,,,,,,,,,,,,,,
"Villmann, Thomas","Haase, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,
"Schoenwetter, D J","Reynolds, P A","Eaton, K A","de Vries, J",,,,,,,,,,,,,,,,,,,,,,,,
"Wu, Fangji","Wang, Tianyi","Lee, Jay",,,,,,,,,,,,,,,,,,,,,,,,,
"Hama, Mika","Leow, Ronald P",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rovai, Alfred P","Downey, James R",,,,,,,,,,,,,,,,,,,,,,,,,,
"McCann, Ann L","Schneiderman, Emet D","Hinton, Robert J",,,,,,,,,,,,,,,,,,,,,,,,,
"Donavant, Brian W",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dorrian, Jillian","Wache, Dale",,,,,,,,,,,,,,,,,,,,,,,,,,
"Schutt, Michelle A","Hightower, Barbara",,,,,,,,,,,,,,,,,,,,,,,,,,
"Baran, Evrim","Correia, Ana-Paula",,,,,,,,,,,,,,,,,,,,,,,,,,
"Schneckenberg, Dirk",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shyr, Wen-Jye",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rush, Kathy L","Dyches, Cathy E","Waldrop, Susannah","Davis, Angie",,,,,,,,,,,,,,,,,,,,,,,,
"Rossi, Michele","Zorzi, Michele","Rao, Ramesh R",,,,,,,,,,,,,,,,,,,,,,,,,
"Murday, Kimmaree","Ushida, Eiko","Chenoweth, N Ann",,,,,,,,,,,,,,,,,,,,,,,,,
"Heller, Richard F","Chongsuvivatwong, Virasakdi","Hailegeorgios, Samson","Dada, John","Torun, Perihan","Madhok, Rajan","Sandars, John",,,,,,,,,,,,,,,,,,,,,
"Randall, Julian","Amft, Oliver","Bohn, Juergen","Burri, Martin",,,,,,,,,,,,,,,,,,,,,,,,
"Jao, CS","Brint, SU","Hier, DB",,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, WY","Perris, K","Yeung, L",,,,,,,,,,,,,,,,,,,,,,,,,
"Kennedy, DM",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Howatson-Jones, Lioba",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Elizabeth T","Mercer, Zena B",,,,,,,,,,,,,,,,,,,,,,,,,,
"Angelova, G","Kalaydjiev, O","Strupchanska, A",,,,,,,,,,,,,,,,,,,,,,,,,
"Correa, Luciana","de Campos, Antonio Carlos","Souza, Suzana C O M","Novelli, Moacyr Domingos",,,,,,,,,,,,,,,,,,,,,,,,
"Clark, RE",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buchanan, LE","Luck, DL","Jones, TC",,,,,,,,,,,,,,,,,,,,,,,,,
"Volery, T",,,,,,,,,,,,,,,,,,,,,,,,,,,
"VandeVusse, L","Hanson, L",,,,,,,,,,,,,,,,,,,,,,,,,,
"Giraud, T","Gourbiere, S",,,,,,,,,,,,,,,,,,,,,,,,,,
"Torkildsen, E A","Salvesen, K A","Eggebo, T M",,,,,,,,,,,,,,,,,,,,,,,,,
"Kim, Jungjoo","Kwon, Yangyi","Cho, Daeyeon",,,,,,,,,,,,,,,,,,,,,,,,,
"Rojko, Andreja","Hercog, Darko","Jezernik, Karel",,,,,,,,,,,,,,,,,,,,,,,,,
"Abdous, Mhammed","Yoshimura, Miki",,,,,,,,,,,,,,,,,,,,,,,,,,
"Baturay, Meltem Huri","Bay, Omer Faruk",,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, Chih-Kai",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez, Carlos",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gromiha, M Michael","Sarai, Akinori",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuvi-Arad, Inbal","Blonder, Ron",,,,,,,,,,,,,,,,,,,,,,,,,,
"Artino, Anthony R, Jr",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Hye-Jung","Rha, Ilju",,,,,,,,,,,,,,,,,,,,,,,,,,
"Dabaj, Fahme",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parson, Vanessa","Reddy, Peter","Wood, Jon","Senior, Carl",,,,,,,,,,,,,,,,,,,,,,,,
"Mokwena, Kebogile","Mokgatle-Nthabu, Mathilda","Madiba, Sphiwe","Lewis, Helen","Ntuli-Ngcobo, Busi",,,,,,,,,,,,,,,,,,,,,,,
"Glinkowski, Wojciech","Ciszek, Bogdan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Miers, Margaret E","Clarke, Brenda A","Pollard, Katherine C","Rickaby, Caroline E","Thomas, Judith","Turtle, Ann",,,,,,,,,,,,,,,,,,,,,,
"Weller, Martin",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leocani, Letizia","Comi, Eleonora","Annovazzi, Pietro","Rovaris, Marco","Rossi, Paolo","Cursi, Marco","Comola, Mauro","Martinelli, Vittorio","Comi, Giancarlo",,,,,,,,,,,,,,,,,,,
"Dalrymple, Kirsten R","Wuenschell, Carol","Rosenblum, Alvin","Paine, Michael","Crowe, David","von Bergmann, Hsing Chi","Wong, Shirley","Bradford, Marian Said","Shuler, Charles F",,,,,,,,,,,,,,,,,,,
"Lockyer, Jocelyn","Sargeant, Joan","Curran, Vernon","Fleet, Lisa",,,,,,,,,,,,,,,,,,,,,,,,
"Schutze, B","Mildenberger, P","Kammerer, M",,,,,,,,,,,,,,,,,,,,,,,,,
"Whittington, K","Cook, J","Barratt, C","Jenkins, J",,,,,,,,,,,,,,,,,,,,,,,,
"Bouras, C","Tsiatsos, T",,,,,,,,,,,,,,,,,,,,,,,,,,
"Minasian-Batmanian, LC",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaplan, IP","Patton, LR","Hamilton, RA",,,,,,,,,,,,,,,,,,,,,,,,,
"Corter, James E","Esche, Sven K","Chassapis, Constantin","Ma, Jing","Nickerson, Jeffrey V",,,,,,,,,,,,,,,,,,,,,,,
"Ozcelik, Erol","Acarturk, Cengiz",,,,,,,,,,,,,,,,,,,,,,,,,,
"Oliveira, I","Tinoca, L","Pereira, A",,,,,,,,,,,,,,,,,,,,,,,,,
"Udo, Godwin J","Bagchi, Kallol K","Kirs, Peeter J",,,,,,,,,,,,,,,,,,,,,,,,,
"Moore, Joi L","Dickson-Deane, Camille","Galyen, Krista",,,,,,,,,,,,,,,,,,,,,,,,,
"Jorm, Anthony F","Kitchener, Betty A","Fischer, Julie-Anne","Cvetkovski, Stefan",,,,,,,,,,,,,,,,,,,,,,,,
"Espasa, Anna","Meneses, Julio",,,,,,,,,,,,,,,,,,,,,,,,,,
"Shea, Peter","Vickers, Jason","Hayes, Suzanne",,,,,,,,,,,,,,,,,,,,,,,,,
"Curran, Janet A","Murphy, Andrea L","Abidi, Syed Sibte Raza","Sinclair, Douglas","McGrath, Patrick J",,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez, Carlos",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hujala, Teppo","Tikkanen, Jukka","Hanninen, Harri","Virkkula, Outi",,,,,,,,,,,,,,,,,,,,,,,,
"Tapanes, Marie A","Smith, Glenn G","White, James A",,,,,,,,,,,,,,,,,,,,,,,,,
"Atack, Lynda","Luke, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,
"Eaton, K A","Reynolds, P A",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kukolja-Taradi, Suncana","Dogas, Zoran","Dabic, Marina","Drenjancevic Peric, Ines",,,,,,,,,,,,,,,,,,,,,,,,
"Correia, Ana-Paula","Davis, Niki",,,,,,,,,,,,,,,,,,,,,,,,,,
"Reynolds, P A","Eaton, K A","Mason, R",,,,,,,,,,,,,,,,,,,,,,,,,
"Conceicao, Simone C O","Taylor, Linda D",,,,,,,,,,,,,,,,,,,,,,,,,,
"Wallner, Stephanie","Kendall, Patricia","Hillers, Virginia","Bradshaw, Eva","Medeiros, Lydia C",,,,,,,,,,,,,,,,,,,,,,,
"Ertmer, Peggy A","Nour, Abdelfattah Y M",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Juin-Shu","Lin, Kuan-Chia","Jiang, Wey-Wen","Lee, Ting-Ting",,,,,,,,,,,,,,,,,,,,,,,,
"Kambourakis, Georgios","Kontoni, Denise-Penelope N","Rouskas, Angelos","Gritzalis, Stefanos",,,,,,,,,,,,,,,,,,,,,,,,
"Karlinsky, Harry","Dunn, Celina","Clifford, Bill","Atkins, Jim","Pachev, George","Cunningham, Ken","Fenrich, Peter","Bayani, Yassaman",,,,,,,,,,,,,,,,,,,,
"Little, Barbara Battin","Passmore, Denise","Schullo, Shauna",,,,,,,,,,,,,,,,,,,,,,,,,
"Sofman, Boris","Lin, Ellie","Bagnell, J Andrew","Cole, John","Vandapel, Nicolas","Stentz, Anthony",,,,,,,,,,,,,,,,,,,,,,
"Zajaczek, J E W","Goetz, F","Kupka, T","Behrends, M","Haubitz, B","Donnerstag, F","Rodt, T","Walter, G F","Matthies, H K","Becker, H",,,,,,,,,,,,,,,,,,
"Campolattaro, Matthew M","Freeman, John H",,,,,,,,,,,,,,,,,,,,,,,,,,
"Jakeway, CC","Cantrell, EE","Cason, JB","Talley, BS",,,,,,,,,,,,,,,,,,,,,,,,
"Beitz, Janice M","Snarponis, Jo Anne",,,,,,,,,,,,,,,,,,,,,,,,,,
"Brooks, Christopher","Greer, Jim","Melis, Erica","Ullrich, Carsten",,,,,,,,,,,,,,,,,,,,,,,,
"Sacchanand, Chutima","Jaroenpuntaruk, Vipa",,,,,,,,,,,,,,,,,,,,,,,,,,
"Shovein, Julia","Huston, Carol","Fox, Sherry","Damazo, Becky",,,,,,,,,,,,,,,,,,,,,,,,
"Boulos, MNK","Taylor, AD","Breton, A",,,,,,,,,,,,,,,,,,,,,,,,,
"Lashley, M",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loui, MC",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lewis, KO","Baker, RC",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rahman, MM","Bhattacharya, P","Desai, BC",,,,,,,,,,,,,,,,,,,,,,,,,
"Moore, P","Hart, L",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bregman, A","Haythornthwaite, C",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ketamo, H",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cahill, D","Cook, J","Sithers, A","Edwards, J","Jenkins, J",,,,,,,,,,,,,,,,,,,,,,,
"Bradley, C","Oliver, M",,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, YN","Lou, H","Luo, WH",,,,,,,,,,,,,,,,,,,,,,,,,
"Farel, A","Umble, K","Polhamus, B",,,,,,,,,,,,,,,,,,,,,,,,,
"Litchfield, RE","Oakland, MJ","Anderson, JA",,,,,,,,,,,,,,,,,,,,,,,,,
"Lang, KR","Zhao, JL",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lo, Jia-Jiunn","Chan, Ya-Chen","Yeh, Shiou-Wen",,,,,,,,,,,,,,,,,,,,,,,,,
"Liu, Zhenqiu","Hsiao, William","Cantarel, Brandi L","Drabek, Elliott Franco","Fraser-Liggett, Claire",,,,,,,,,,,,,,,,,,,,,,,
"Tsagkatakis, Grigorios","Savakis, Andreas",,,,,,,,,,,,,,,,,,,,,,,,,,
"Diekema, Anne R","Holliday, Wendy","Leary, Heather",,,,,,,,,,,,,,,,,,,,,,,,,
"Mitchell, Suzanne","Heyden, Robin","Heyden, Neil","Schroy, Paul","Andrew, Stephen","Sadikova, Ekaterina","Wiecha, John",,,,,,,,,,,,,,,,,,,,,
"Pelayo, Marta","Cebrian, Diego","Areosa, Almudena","Agra, Yolanda","Vicente Izquierdo, Juan","Buendia, Felix",,,,,,,,,,,,,,,,,,,,,,
"Myrick, Florence","Caplan, Wendy","Smitten, Jayne","Rusk, Kerry",,,,,,,,,,,,,,,,,,,,,,,,
"Ramanan, Deva","Baker, Simon",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheng, Wei-Yuan","Juang, Chia-Feng",,,,,,,,,,,,,,,,,,,,,,,,,,
"Amayri, Ola","Bouguila, Nizar",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sisson, Stephen D","Hill-Briggs, Felicia","Levine, David",,,,,,,,,,,,,,,,,,,,,,,,,
"Chisolm, Deena J",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hubackova, Sarka",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Shin Yi","Overbaugh, Richard C",,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallagher-Lepak, Susan","Reilly, Janet","Killion, Cheryl M",,,,,,,,,,,,,,,,,,,,,,,,,
"Ayala, Jessica S",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keengwe, Jared","Kidd, Terry","Kyei-Blankson, Lydia",,,,,,,,,,,,,,,,,,,,,,,,,
"Alvarez, I","Guasch, T","Espasa, A",,,,,,,,,,,,,,,,,,,,,,,,,
"Congdon, Heather Brennan","Nutter, Douglas A","Charneski, Lisa","Butko, Peter",,,,,,,,,,,,,,,,,,,,,,,,
"Gorgan, Dorian","Stefanut, Teodor","Bacu, Victor",,,,,,,,,,,,,,,,,,,,,,,,,
"King, Sharla","Greidanus, Elaine","Carbonaro, Michael","Drummond, Jane","Patterson, Steven",,,,,,,,,,,,,,,,,,,,,,,
"Pradeep, Vivek","Medioni, Gerard","Weiland, James",,,,,,,,,,,,,,,,,,,,,,,,,
"Mittal, Ankush","Gupta, Chirag","Gupta, Ashish",,,,,,,,,,,,,,,,,,,,,,,,,
"Dietze, Stefan","Gugliotta, Alessio","Domingue, John",,,,,,,,,,,,,,,,,,,,,,,,,
"Tao, Yu-Hui","Yeh, Chu-Chen Rosa",,,,,,,,,,,,,,,,,,,,,,,,,,
"Torniai, Carlo","Jovanovic, Jelena","Gasevic, Dragan","Bateman, Scott","Hatala, Marek",,,,,,,,,,,,,,,,,,,,,,,
"Tsai, I-Chun","Kim, Bosung","Liu, Pei-Ju","Goggins, Sean P","Kumalasari, Christiana","Laffey, James M",,,,,,,,,,,,,,,,,,,,,,
"Zembylas, Michalinos",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thorley, Kevan","Turner, Susan","Hussey, Louise","Zarin, Nazia","Agius, Raymond",,,,,,,,,,,,,,,,,,,,,,,
"Hernandez, Rocael","Pardo, Abelardo","Kloos, Carlos Delgado",,,,,,,,,,,,,,,,,,,,,,,,,
"Michinov, Estelle","Michinov, Nicolas",,,,,,,,,,,,,,,,,,,,,,,,,,
"Valaitis, Ruta","Akhtar-Danesh, Noori","Eva, Kevin","Levinson, Anthony","Wainman, Bruce",,,,,,,,,,,,,,,,,,,,,,,
"Bardeen, M","Gilbert, E","Jordan, T","Nepywoda, P","Quigg, E","Wilde, M","Zhao, Y",,,,,,,,,,,,,,,,,,,,,
"Basher, Hasanul A","Isa, Saliman A",,,,,,,,,,,,,,,,,,,,,,,,,,
"Little, CB","Titarenko, L","Bergelson, M",,,,,,,,,,,,,,,,,,,,,,,,,
"Larreamendy-Joerns, J","Leinhardt, G","Corredor, J",,,,,,,,,,,,,,,,,,,,,,,,,
"Curran, VR","Lockyer, J","Kirby, F","Sargeant, J","Fleet, L","Wright, D",,,,,,,,,,,,,,,,,,,,,,
"Zhang, DQ","Chen, SC","Tan, K",,,,,,,,,,,,,,,,,,,,,,,,,
"Hong, PS","Anderson, DV","Williams, DB","Jackson, JR","Barnwell, TP","Hayes, MH","Schafer, RW","Echard, JD",,,,,,,,,,,,,,,,,,,,
"Goldsmith, J","Sloan, RH","Szorenyi, B","Turan, G",,,,,,,,,,,,,,,,,,,,,,,,
"Asif, A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lemaire, ED","Greene, G",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rick, Cathy","Kearns, Martha A","Thompson, Nancy A",,,,,,,,,,,,,,,,,,,,,,,,,
"Soller, A","Lesgold, A",,,,,,,,,,,,,,,,,,,,,,,,,,
"Steinmetz, R","Seeberg, C",,,,,,,,,,,,,,,,,,,,,,,,,,
"Wiecha, John M","Vanderschmidt, Hannelore","Schilling, Kathy",,,,,,,,,,,,,,,,,,,,,,,,,
"Levesque, David R","Kelly, Gina",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bussler, L","Davis, E",,,,,,,,,,,,,,,,,,,,,,,,,,
"CHAKRAVARTHY, SK","NAYAR, CV","ACHUTHAN, NR",,,,,,,,,,,,,,,,,,,,,,,,,
"Xu, Dong","Zhang, Yang",,,,,,,,,,,,,,,,,,,,,,,,,,
"Stout, James W","Smith, Karen","Zhou, Chuan","Solomon, Cam","Dozor, Allen J","Garrison, Michelle M","Mangione-Smith, Rita",,,,,,,,,,,,,,,,,,,,,
"Tsai, Chin-Chung","Chuang, Shih-Chyueh","Liang, Jyh-Chong","Tsai, Meng-Jung",,,,,,,,,,,,,,,,,,,,,,,,
"Dong, Wenbo","Sun, Zhenan","Tan, Tieniu",,,,,,,,,,,,,,,,,,,,,,,,,
"Aggarwal, Rakesh","Gupte, Nikhil","Kass, Nancy","Taylor, Holly","Ali, Joseph","Bhan, Anant","Aggarwal, Amita","Sisson, Stephen D","Kanchanaraksa, Sukon","McKenzie-White, Jane","McGready, John","Miotti, Paolo","Bollinger, Robert C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nguyen, Diane N","Zierler, Brenda","Nguyen, Huong Q",,,,,,,,,,,,,,,,,,,,,,,,,
"Cobb, Susan C",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silva, Cristiana Silveira","Souza, Murilo Barreto","Silva Filho, Roberto Silveira","de Medeiros, Luciana Molina","Criado, Paulo Ricardo",,,,,,,,,,,,,,,,,,,,,,,
"Ulas, Aydin","Duin, Robert P W","Castellani, Umberto","Loog, Marco","Mirtuono, Pasquale","Bicego, Manuele","Murino, Vittorio","Bellani, Marcella","Cerruti, Stefania","Tansella, Michele","Brambilla, Paolo",,,,,,,,,,,,,,,,,
"Nistor, Nicolae","Neubauer, Katrin",,,,,,,,,,,,,,,,,,,,,,,,,,
"Skerlavaj, Miha","Dimovski, Vlado","Desouza, Kevin C",,,,,,,,,,,,,,,,,,,,,,,,,
"Van de Vord, Rebecca",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Handal, B","Groenlund, C","Gerzina, T",,,,,,,,,,,,,,,,,,,,,,,,,
"Forsyth, Hannah","Pizzica, Jenny","Laxton, Ruth","Mahony, Mary Jane",,,,,,,,,,,,,,,,,,,,,,,,
"Konieczny, Alison",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dong, Jing","Ackermann, Kurt","Nita-Rotaru, Cristina",,,,,,,,,,,,,,,,,,,,,,,,,
"Corovic, Selma","Bester, Janez","Miklavcic, Damijan",,,,,,,,,,,,,,,,,,,,,,,,,
"Hanson, Ben","Culmer, Peter","Gallagher, Justin","Page, Kate","Read, Elizabeth","Weightman, Andrew","Levesley, Martin",,,,,,,,,,,,,,,,,,,,,
"Qi, Guo-Jun","Hua, Xian-Sheng","Rui, Yong","Tang, Jinhui","Zhang, Hong-Jiang",,,,,,,,,,,,,,,,,,,,,,,
"Zhou, Xiang-Dong","Wang, Da-Han","Liu, Cheng-Lin",,,,,,,,,,,,,,,,,,,,,,,,,
"Garcia-Robles, Rocio","Diaz-del-Rio, Fernando","Vicente-Diaz, Saturnino","Linares-Barranco, Alejandro",,,,,,,,,,,,,,,,,,,,,,,,
"Dyrbye, Liselotte","Cumyn, Annabelle","Day, Hollis","Heflin, Mitchell",,,,,,,,,,,,,,,,,,,,,,,,
"Rice, Kerry",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Louise C","Devaney, Susan W","Kelly, Glenda L","Kuehn, Alice F",,,,,,,,,,,,,,,,,,,,,,,,
"Bangert, Art W","Easterby, Lisa",,,,,,,,,,,,,,,,,,,,,,,,,,
"Dettori, Giuliana","Persico, Donatella",,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Arlene E",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ostlund, Berit",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ruf, Daniela","Berner, Michael M","Kriston, Levente","Maier, Ilina","Harter, Martin",,,,,,,,,,,,,,,,,,,,,,,
"Smith, Regina O",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stoyanov, Stanimir","Ganchev, Ivan","Popchev, Ivan","ODroma, Mairtin",,,,,,,,,,,,,,,,,,,,,,,,
"Laguardia, Josue","Portela, Margareth Crisostomo","Vasconcellos, Miguel Murat",,,,,,,,,,,,,,,,,,,,,,,,,
"Short, Nick","Maddison, Jill","Mantis, Panagiotis","Salmon, Gilly",,,,,,,,,,,,,,,,,,,,,,,,
"Lahaie, Ulysses",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Peter John",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Krockenberger, Mark B","Bosward, Katrina L","Canfield, Paul J",,,,,,,,,,,,,,,,,,,,,,,,,
"Reynolds, P A","Harper, J","Dunne, S","Cox, M","Myint, Y K",,,,,,,,,,,,,,,,,,,,,,,
"Schwarzkopf, S R","Morfeld, M","Gulich, M","Lay, W","Horn, K","Mau, W",,,,,,,,,,,,,,,,,,,,,,
"Shih, Timothy K","Wang, Te-Hua","Chang, Chih-Yung","Kao, Tai-Chien","Hamilton, Douglas",,,,,,,,,,,,,,,,,,,,,,,
"Kamel Boulos, Maged N","Wheeler, Steve",,,,,,,,,,,,,,,,,,,,,,,,,,
"Birch, Dawn","Volkov, Michael",,,,,,,,,,,,,,,,,,,,,,,,,,
"Masters, Kenneth","Gibbs, Trevor",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cronje, JC",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reinhold, Silvan","Abawi, Daniel F",,,,,,,,,,,,,,,,,,,,,,,,,,
"Serce, Fatma Cemile","Yildirim, Soner",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ireland, A J","Smith, A S A","Alder, D M","Sandy, J R","Chadwick, S M",,,,,,,,,,,,,,,,,,,,,,,
"Roberts, Vanice W","Brannan, Jane D","White, Anne",,,,,,,,,,,,,,,,,,,,,,,,,
"Glen, S",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burgess, G","Holt, A","Agius, R",,,,,,,,,,,,,,,,,,,,,,,,,
"Kazmer, MM",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrer-Troyano, FJ","Aguilar-Ruiz, JS","Riquelme, JC",,,,,,,,,,,,,,,,,,,,,,,,,
"Wang, HQ","Zhang, MY","Xu, DM","Zhang, D",,,,,,,,,,,,,,,,,,,,,,,,
"Schadel, D","Coumbos, A","Willrodt, RG","Roggan, A","Jochum, T","Muller, G","Albrecht, H","Kuhn, W",,,,,,,,,,,,,,,,,,,,
"Suanpang, P","Petocz, P","Kalceff, W",,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, TR","Zhang, JJ","Tang, ZH","Johnson, C","Turley, JP",,,,,,,,,,,,,,,,,,,,,,,
"Trentin, G",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baillie-de Byl, P",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bozarth, J","Chapman, DD","LaMonica, L",,,,,,,,,,,,,,,,,,,,,,,,,
"Duin, AH","Starke-Meyerring, D",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenner, Carole","Androwich, Ida M","Edwards, Patricia A",,,,,,,,,,,,,,,,,,,,,,,,,
"Liu, Y","Lin, FZ","Wang, X",,,,,,,,,,,,,,,,,,,,,,,,,
"Solberg, S","Church, O","Curran, V",,,,,,,,,,,,,,,,,,,,,,,,,
"Spallek, Heiko","Pilcher, Elizabeth","Lee, Ji-Young","Schleyer, Titus",,,,,,,,,,,,,,,,,,,,,,,,
"Viggiano, R","Ault, M",,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, G T",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peterman, TW",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Furnell, SM","Onions, PD","Bleimann, U","Gojny, U","Knahl, M","Roder, HF","Sanders, PW",,,,,,,,,,,,,,,,,,,,,
"Stadtlander, LM",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brandt, KA","Sapp, JR","Campbell, JM",,,,,,,,,,,,,,,,,,,,,,,,,
"Shea, Peter","Bidjerano, Temi",,,,,,,,,,,,,,,,,,,,,,,,,,
"Vercellone-Smith, Pamela","Jablokow, Kathryn","Friedel, Curtis",,,,,,,,,,,,,,,,,,,,,,,,,
"Antonio Iglesias, Jose","Angelov, Plamen","Ledezma, Agapito","Sanchis, Araceli",,,,,,,,,,,,,,,,,,,,,,,,
"Bonifacio, Vasco D B",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Li, Wei","Liao, Shu","Feng, Qianjin","Chen, Wufan","Shen, Dinggang",,,,,,,,,,,,,,,,,,,,,,,
"Sun, Jerry Chih-Yuan","Rueda, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,
"Capdeferro, Neus","Romero, Margarida",,,,,,,,,,,,,,,,,,,,,,,,,,
"Desnica, Eleonora","Letic, Dusko","Gligoric, Radojka","Navalusic, Slobodan",,,,,,,,,,,,,,,,,,,,,,,,
