author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28
"Docherty, C","Hoy, D","Topp, H","Trinder, K",,,,,,,,,,,,,,,,,,,,,,,,
"Mehlenbacher, B","Miller, CR","Covington, D","Larsen, JS",,,,,,,,,,,,,,,,,,,,,,,,
"An, Heejung","Shin, Sunghee","Lim, Keol",,,,,,,,,,,,,,,,,,,,,,,,,
"Barbour, Michael K","Reeves, Thomas C",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cheung, B","Hui, L","Zhang, J","Yiu, SM",,,,,,,,,,,,,,,,,,,,,,,,
"Gikandi, J W","Morrow, D","Davis, N E",,,,,,,,,,,,,,,,,,,,,,,,,
"Shabbott, Britne A","Sainburg, Robert L",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hughes, Gwyneth",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sargeant, J","Curran, V","Allen, M","Jarvis-Selinger, S","Ho, K",,,,,,,,,,,,,,,,,,,,,,,
"Contreras-Castillo, J","Favela, J","Perez-Fragoso, C","Santamaria-del-Angel, E",,,,,,,,,,,,,,,,,,,,,,,,
"Cook, David A","Levinson, Anthony J","Garside, Sarah",,,,,,,,,,,,,,,,,,,,,,,,,
"Garcia-Zubia, Javier","Orduna, Pablo","Lopez-de-Ipina, Diego","Alves, Gustavo R",,,,,,,,,,,,,,,,,,,,,,,,
"Dennen, Vanessa Paz",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smith, Glenn G","Heindel, Allen J","Torres-Ayala, Ana T",,,,,,,,,,,,,,,,,,,,,,,,,
"Gotthardt, M","Siegert, MJ","Schlieck, A","Schneider, S","Kohnert, A","Gross, MW","Schafer, C","Wagner, R","Hormann, S","Behr, TM","Engenhart-Cabillic, R",,,,,,,,,,,,,,,,,
"Blignaut, S","Trollip, SR",,,,,,,,,,,,,,,,,,,,,,,,,,
"Broudo, Marc","Walsh, Charlene",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alpaydin, E",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Park, Ji-Hye","Choi, Hee Jun",,,,,,,,,,,,,,,,,,,,,,,,,,
"Oliver, Martin","Carr, Diane",,,,,,,,,,,,,,,,,,,,,,,,,,
"Blouin, Robert A","Riffee, William H","Robinson, Evan T","Beck, Diane E","Green, Charles","Joyner, Pamela U","Persky, Adam M","Pollack, Gary M",,,,,,,,,,,,,,,,,,,,
"Rourke, Liam","Kanuka, Heather",,,,,,,,,,,,,,,,,,,,,,,,,,
"Wisker, Gina","Robinson, Gillian","Shacham, Miri",,,,,,,,,,,,,,,,,,,,,,,,,
"Coates, D","Humphreys, BR","Kane, J","Vachris, MA",,,,,,,,,,,,,,,,,,,,,,,,
"ROWNTREE, D",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jung, Jason J",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andresen, Martin A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pinto, A","Selvaggi, S","Sicignano, G","Vollono, E","Lervolino, L","Amato, F","Molinari, A","Grassi, R",,,,,,,,,,,,,,,,,,,,
"Kazanina, Nina","Lau, Ellen F","Lieberman, Moti","Yoshida, Masaya","Phillips, Colin",,,,,,,,,,,,,,,,,,,,,,,
"Vollmar, H C","Schuerer-Maly, C-C","Frahne, J","Lelgemann, M","Butzlaffl, M",,,,,,,,,,,,,,,,,,,,,,,
"Bernardo, V","Ramos, MP","Plapler, H","de Figueiredo, LFP","Nader, HB","Ancao, MS","von Dietrich, CP","Sigulem, D",,,,,,,,,,,,,,,,,,,,
"Thiele, JE",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Kenneth G","Demps, Elaine L",,,,,,,,,,,,,,,,,,,,,,,,,,
"Gillet, D","Geoffroy, F","Zeramdini, K","Nguyen, AV","Rekik, Y","Piguet, Y",,,,,,,,,,,,,,,,,,,,,,
"Zhu, Xiaofeng","Ge, Yaorong","Li, Taoran","Thongphiew, Danthai","Yin, Fang-Fang","Wu, Q Jackie",,,,,,,,,,,,,,,,,,,,,,
"Petrakou, Alexandra",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arbaugh, J B","Bangert, Arthur","Cleveland-Innes, Martha",,,,,,,,,,,,,,,,,,,,,,,,,
"Mayadas, A Frank","Bourne, John","Bacsich, Paul",,,,,,,,,,,,,,,,,,,,,,,,,
"Littlejohn, Allison","Falconer, Isobel","MCgill, Lou",,,,,,,,,,,,,,,,,,,,,,,,,
"Overby, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yu, Shu","Chen, I-Ju","Yang, Kuei-Feng","Wang, Tze-Fang","Yen, Lee-Lan",,,,,,,,,,,,,,,,,,,,,,,
"Mancuso-Murphy, Josephine",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wei, Fu-Hsiang","Chen, Gwo-Dong",,,,,,,,,,,,,,,,,,,,,,,,,,
"Yukawa, Joyce",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang, Minjuan","Kang, Myunghee",,,,,,,,,,,,,,,,,,,,,,,,,,
"Caporale, V","Alessandrini, B","Dalla Villa, P","Del Papa, S",,,,,,,,,,,,,,,,,,,,,,,,
"Walther, Joseph B","Pingree, Suzanne","Hawkins, Robert P","Buller, David B",,,,,,,,,,,,,,,,,,,,,,,,
"Abrami, Philip C","Bernard, Robert M","Bures, Eva M","Borokhovski, Eugene","Tamim, Rana M",,,,,,,,,,,,,,,,,,,,,,,
"Garcia-Penalvo, Francisco J","Conde, Miguel A","Alier, Marc","Casany, Maria J",,,,,,,,,,,,,,,,,,,,,,,,
"Carroll, Christopher","Booth, Andrew","Papaioannou, Diana","Sutton, Anthea","Wong, Ruth",,,,,,,,,,,,,,,,,,,,,,,
"Tung, Feng-Cheng","Chang, Su-Chao",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kerawalla, Lucinda","Minocha, Shailey","Kirkup, Gill","Conolea, Grainne",,,,,,,,,,,,,,,,,,,,,,,,
"Brewer, Susan","Klein, James D",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lou, YP","Bernard, RM","Abrami, PC",,,,,,,,,,,,,,,,,,,,,,,,,
"Daradoumis, T","Martinez-Mones, A","Xhafa, F",,,,,,,,,,,,,,,,,,,,,,,,,
"Kessler, Penny D","Lund, Carole H",,,,,,,,,,,,,,,,,,,,,,,,,,
"Nejdl, W","Olmedilla, D","Winslett, M",,,,,,,,,,,,,,,,,,,,,,,,,
"Allen, R",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolliger, Doris U","Wasilik, Oksana",,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, Jiuming","Ye, Liping","Wei, Zhu",,,,,,,,,,,,,,,,,,,,,,,,,
"Artino, A R",,,,,,,,,,,,,,,,,,,,,,,,,,,
"van Rosmalen, P","Sloep, P","Kester, L","Brouns, F","de Croock, M","Pannekeet, K","Koper, R",,,,,,,,,,,,,,,,,,,,,
"Helander, Michael G","Emami, M Reza",,,,,,,,,,,,,,,,,,,,,,,,,,
"Sahin, Ismail","Shelley, Mack",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kosba, Essam","Dimitrova, Vania","Boyle, Roger",,,,,,,,,,,,,,,,,,,,,,,,,
"Hastie, Megan","Chen, Nian-Shing","Kuo, Yen-Hung",,,,,,,,,,,,,,,,,,,,,,,,,
"Xu, Dongming","Wang, Huaiqing",,,,,,,,,,,,,,,,,,,,,,,,,,
"Motteram, G",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schultze-Mosgau, S","Zielinski, T","Lochner, J",,,,,,,,,,,,,,,,,,,,,,,,,
"Ryan, Marilyn","Carlton, Kay Hodson","Ali, Nagia S",,,,,,,,,,,,,,,,,,,,,,,,,
"Graf, F",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Odell, E W","Francis, C A","Eaton, K A","Reynolds, P A","Mason, R D",,,,,,,,,,,,,,,,,,,,,,,
"PADOS, DA","PAPANTONIKAZAKOS, P","KAZAKOS, D","KOYIANTIS, AG",,,,,,,,,,,,,,,,,,,,,,,,
"Oncu, Semiral","Cakir, Hasan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Shaw, Timothy","Long, Andrea","Chopra, Sanjiv","Kerfoot, B Price",,,,,,,,,,,,,,,,,,,,,,,,
"Michinov, Nicolas","Brunot, Sophie","Le Bohec, Olivier","Juhel, Jacques","Delaval, Marine",,,,,,,,,,,,,,,,,,,,,,,
"Benson, Robyn","Samarawickrema, Gayani",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaklauskas, Arturas","Zavadskas, Edmundas Kazimieras","Budzeviciene, Rita",,,,,,,,,,,,,,,,,,,,,,,,,
"Rovai, Alfred P","Wighting, Mervyn J","Baker, Jason D","Grooms, Linda D",,,,,,,,,,,,,,,,,,,,,,,,
"Romanov, Kalle","Nevgi, Anne",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pahinis, Kimon","Stokes, Christopher W","Walsh, Trevor F","Cannavina, Giuseppe",,,,,,,,,,,,,,,,,,,,,,,,
"Renfrew, Mary J","McFadden, Alison","Dykes, Fiona","Wallace, Louise M","Abbott, Stephen","Burt, Sue","Anderson, Joanna Kosmala",,,,,,,,,,,,,,,,,,,,,
"Perkins, C",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sieber, JE",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dagger, D","Wade, V","Conlan, O",,,,,,,,,,,,,,,,,,,,,,,,,
"Soller, A",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaffin, AJ","Maddux, CD",,,,,,,,,,,,,,,,,,,,,,,,,,
"Shin, NM","Chan, JKY",,,,,,,,,,,,,,,,,,,,,,,,,,
"Kim, Young Ae","Song, Hee Seok",,,,,,,,,,,,,,,,,,,,,,,,,,
"Biasutti, Michele",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hung, Min-Ling","Chou, Chien","Chen, Chao-Hsiu","Own, Zang-Yuan",,,,,,,,,,,,,,,,,,,,,,,,
"Kotsiantis, S","Patriarcheas, K","Xenos, M",,,,,,,,,,,,,,,,,,,,,,,,,
"De Wever, Bram","Van Keer, Hilde","Schellens, Tammy","Valcke, Martin",,,,,,,,,,,,,,,,,,,,,,,,
"Peters, Vanessa L","Hewitt, Jim",,,,,,,,,,,,,,,,,,,,,,,,,,
"Granpeesheh, Doreen","Tarbox, Jonathan","Dixon, Dennis R","Peters, Catherine A","Thompson, Kathleen","Kenzer, Amy",,,,,,,,,,,,,,,,,,,,,,
"Nagel, Lynette","Kotze, Theuns G",,,,,,,,,,,,,,,,,,,,,,,,,,
"Artino, Anthony R, Jr","Stephens, Jason M",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tung, Feng-Cheng","Chang, Su-Chao",,,,,,,,,,,,,,,,,,,,,,,,,,
"Waller, David","Greenauer, Nathan",,,,,,,,,,,,,,,,,,,,,,,,,,
"Price, Linda","Richardson, John T E","Jelfs, Anne",,,,,,,,,,,,,,,,,,,,,,,,,
"Price, L",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodgson, Eric","Waller, David",,,,,,,,,,,,,,,,,,,,,,,,,,
"Hollis, Vivien","Madill, Helen",,,,,,,,,,,,,,,,,,,,,,,,,,
"Atack, L","Rankin, JA","Then, KL",,,,,,,,,,,,,,,,,,,,,,,,,
"Salamonson, Y","Lantz, J",,,,,,,,,,,,,,,,,,,,,,,,,,
"Mattheos, N","Nattestad, A","Schittek, M","Attstrom, R",,,,,,,,,,,,,,,,,,,,,,,,
"Joo, Young Ju","Lim, Kyu Yon","Kim, Eun Kyung",,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Nian-Shing",Kinshuk,"Wei, Chun-Wang","Liu, Chia-Chi",,,,,,,,,,,,,,,,,,,,,,,,
"Bolliger, Doris U","Supanakorn, Supawan","Boggs, Christine",,,,,,,,,,,,,,,,,,,,,,,,,
"Shen, Ruimin","Wang, Minjuan","Gao, Wanping","Novak, Daniel","Tang, Lin",,,,,,,,,,,,,,,,,,,,,,,
"Blake, Robert","Wilson, Nicole L","Cetto, Maria","Pardo-Ballester, Cristina",,,,,,,,,,,,,,,,,,,,,,,,
"Yudko, Errol","Hirokawa, Randy","Chi, Robert",,,,,,,,,,,,,,,,,,,,,,,,,
"Menchaca, Michael P","Bekele, Teklu Abate",,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Ru-Si","Tsai, Chin-Chung",,,,,,,,,,,,,,,,,,,,,,,,,,
"Pettit, John","Kukulska-Hulme, Agnes",,,,,,,,,,,,,,,,,,,,,,,,,,
"Romanov, Kalle","Nevgi, Anne",,,,,,,,,,,,,,,,,,,,,,,,,,
"Adams, J","Rogers, B","Hayne, S","Mark, G","Nash, J","Leifer, L",,,,,,,,,,,,,,,,,,,,,,
"Cook, DA","Dupras, DM",,,,,,,,,,,,,,,,,,,,,,,,,,
"Davis, Mary V","Sollecito, William A","Shay, Saundra","Williamson, William",,,,,,,,,,,,,,,,,,,,,,,,
"Naidr, JP","Adla, T","Janda, A","Feberova, J","Kasal, P","Hladikova, M",,,,,,,,,,,,,,,,,,,,,,
"Conlan, O","Wade, VP",,,,,,,,,,,,,,,,,,,,,,,,,,
"Solem, MN","Bell, S","Fournier, E","Gillespie, C","Lewitsky, M","Lockton, H",,,,,,,,,,,,,,,,,,,,,,
"Shanley, DB","Dowling, PA","Claffey, N","Nattestad, A",,,,,,,,,,,,,,,,,,,,,,,,
"Garrison, JA","Schardt, C","Kochi, JK",,,,,,,,,,,,,,,,,,,,,,,,,
"Abdous, Mhammed","Yen, Cherng-Jyh",,,,,,,,,,,,,,,,,,,,,,,,,,
"Oztekin, Asil","Kong, Zhenyu James","Uysal, Ozgur",,,,,,,,,,,,,,,,,,,,,,,,,
"Tsai, Chia-Wen",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salmon, Gilly","Nie, Ming","Edirisingha, Palitha",,,,,,,,,,,,,,,,,,,,,,,,,
"Ke, Fengfeng","Xie, Kui",,,,,,,,,,,,,,,,,,,,,,,,,,
"Grassley, Jane S","Bartoletti, Robin",,,,,,,,,,,,,,,,,,,,,,,,,,
"Schmidt, Bonnie","Stewart, Stephanie",,,,,,,,,,,,,,,,,,,,,,,,,,
"Lu, Der-Fa","Lin, Zu-Chun","Li, Yun-Ju",,,,,,,,,,,,,,,,,,,,,,,,,
"Hauck, Mirjam","Youngs, Bonnie L",,,,,,,,,,,,,,,,,,,,,,,,,,
"Virkus, Sirje",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Francescato, Donata","Mebane, Minou","Porcelli, Rita","Attanasio, Carlo","Pulino, Marcella",,,,,,,,,,,,,,,,,,,,,,,
"Majeski, Robin",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bronack, Stephen","Riedl, Richard","Tashner, John",,,,,,,,,,,,,,,,,,,,,,,,,
"Moule, P",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, J","Smith, M",,,,,,,,,,,,,,,,,,,,,,,,,,
