author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27
"gane, ej","naoumov, nv","qian, kp","mondelli, mu","maertens, g","portmann, bc","lau, jyn","williams, r",,,,,,,,,,,,,,,,,,,
"prieto, m","berenguer, m","rayon, jm","cordoba, j","arguello, l","carrasco, d","garcia-herola, a","olaso, v","de juan, m","gobernado, m","mir, j","berenguer, j",,,,,,,,,,,,,,,
"samuel, d","bismuth, a","mathieu, d","arulnaden, jl","reynes, m","benhamou, jp","brechot, c","bismuth, h",,,,,,,,,,,,,,,,,,,
"grellier, l","mutimer, d","ahmed, m","brown, d","burroughs, ak","rolles, k","mcmaster, p","beranek, p","kennedy, f","kibbler, h","mcphillips, p","elias, e","dusheiko, g",,,,,,,,,,,,,,
"tzakis, a","todo, s","starzl, te",,,,,,,,,,,,,,,,,,,,,,,,
"tzakis, ag","gordon, rd","shaw, bw","iwatsuki, s","starzl, te",,,,,,,,,,,,,,,,,,,,,,
"bilheimer, dw","goldstein, jl","grundy, sm","starzl, te","brown, ms",,,,,,,,,,,,,,,,,,,,,,
"majno, pe","adam, r","bismuth, h","castaing, d","ariche, a","krissat, j","perin, h","azoulay, d",,,,,,,,,,,,,,,,,,,
"starzl, te","fung, j","tzakis, a","todo, s","demetris, aj","marino, ir","doyle, h","zeevi, a","warty, v","michaels, m","kusne, s","rudert, wa","trucco, m",,,,,,,,,,,,,,
"ringe, b","wittekind, c","bechstein, wo","bunzendahl, h","pichlmayr, r",,,,,,,,,,,,,,,,,,,,,,
"mazzoferro, vincenzo","llovet, josep m.","miceli, rosalbo","bhoori, sherrie","schiavo, marcello","mariani, luigi","camerini, tiziona","roayaie, sasan","schwartz, myron e.","grazi, gian luca","adam, rene","neuhaus, peter","salizzoni, mauro","bruix, jordi","forner, alejandro","de carlis, luciano","cillo, umberto","burroughs, andrew k.","troisi, roberto","rossi, massimo","gerunda, giorgio e.","lerut, jan","belghiti, jacques","boin, ilka","gugenheim, jean","rochling, fedja","van hoek, bart"
"qian, sw","demetris, aj","murase, n","rao, as","fung, jj","starzl, te",,,,,,,,,,,,,,,,,,,,,
"strom, sc","fisher, ra","thompson, mt","sanyal, aj","cole, pe","ham, jm","posner, mp",,,,,,,,,,,,,,,,,,,,
"gane, e","saliba, f","valdecasas, gjc","ogrady, j","pescovitz, md","lyman, s","robinson, ca",,,,,,,,,,,,,,,,,,,,
"kamada, n","davis, hfs","roser, b",,,,,,,,,,,,,,,,,,,,,,,,
